"NOMBRE DE ALBUM UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO UN NACIMIENTO ESPERADO INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN INSPIRACIÓN POR SUS LLAGAS POR SUS LLAGAS POR SUS LLAGAS","URL IMAGEN https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213549/UN_NACIMIENTO_ESPERADO_V2_psbbxn.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213136/inspiracion_v2_cygvwe.png https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213851/por_sus_llagas_v2_zn6jqb.jpg","TÍTULO DE CANCIÓN EL SUEÑO DE JOSE EL SÍ DE MARÍA UNA TRAVESÍA TRANQUILA LA NOCHE ROTA EN UN HUMILDE PESEBRE MI OFRENDA REAL EMMANUEL CON AMOR ETERNO SALMO 1 CRUZANDO EL MAR DIOS ES AMOR EL ECO RESPONDIÓ EN LA CIMA CONTIGO AMOR INCOMPARABLE ERES JIREH LA ROCA QUE ME SOSTIENE","URL CANCIÓN https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357562/ggemhfn0tararn06ghxk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357513/bm03vfa6jhy7kfevv8yn.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357613/zaewdj4uocvax3sud4c1.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357743/gnk8avqa1owspzv7bjlx.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357699/q0accmyiyvdeesolkpx0.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357850/gkbcwtl2bsefavkamsh0.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1765357891/xdw0lzbsj1hvbteair1v.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764633690/mcqvenfzber5iedq1osm.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764640939/faqs3uvmelm1g7ptoupk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685514/iqctfam1szx1ng4vaakk.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685538/r9kyfzxutxciexbfu3up.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685562/ud1il56d3nfjrybo1qg1.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685586/cuyodioojtfxhoh3u3yd.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764685613/ntugygokigqkjcjisrem.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761450/uhuyl9o2j7mn8tqmrotn.mp3 https://res.cloudinary.com/dveqs8f3n/video/upload/v1764761496/dtwrgbjgvy5fdsaggvub.mp3","Status Done Done Done Done Done Done done Done Done Done Done Done Done Done Done Done","YouTube ID qg9V2SbBQp4 8jNFdAtNPiE B4VEalHQ5Jw 7YEw6FEGGq0 41UdSFmrvJs HAfyQxY3h0A sen3q-Zu4gc xKp0Ltwhia0 NYaHX9gsfMk BpwUpCXH_DM NCIfr5Na3AA 8BHgsYmWNSA MxcJnlHpv4M K4HcfuL7Wxs ZkOFTupvrjc a9pMfIf83Fs","Playlist ID ",""
"ROMPIENDO CADENAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360105/upyii0jbazuu6hfipret.jpg","SOPLO DE VIDA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360163/tmei63neapamcfetjqlx.mp3","Done","","",""
"ROMPIENDO CADENAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360105/upyii0jbazuu6hfipret.jpg","A MEDIANOCHE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360204/syrgbhwqxpqbmh2jxtcx.mp3","done","","",""
"ROMPIENDO CADENAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360105/upyii0jbazuu6hfipret.jpg","TU SOMBRA Y TU LUZ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360242/rlfi7n3ha7esvdpkjgwq.mp3","done","","",""
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","SIETE VUELTAS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360281/sv6flgpmehveyfnnjasq.mp3","Done","","",""
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","GUARDIÁN","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360373/tvm78ysiajiloc7vntaq.mp3","done","","",""
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","MÍO ERES TÚ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360412/hxynwygagjizcfujavwi.mp3","done","","",""
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","REFUGIO ETERNO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360495/a6mkdlnidkdqtdqtcc2h.mp3","Done","u5dOf8NDlvg","",""
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","ALABASTRO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360791/gqprsmse1a8q0b9rxboa.mp3","done","","",""
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","LA MEJOR PARTE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360814/l6vkoxz2igljmyjcf6od.mp3","done","Rzkrgb74JqU","","1"
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","EL SUSURRO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360835/o25nyep019z0ofkdyfsk.mp3","Done","hG7MkMQdNAM","",""
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","EN TUS MANOS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360858/slji0tnwpchardcrzcpd.mp3","Done","3_UResySAbY","",""
"A SUS PIES","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360658/uwne2nu5fobsre07ysh8.jpg","INVISIBLE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360877/hqs0otahkbsesrldpu8v.mp3","Done","64tCGYGjTf0","",""
"VISIONES DE GLORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360998/zvfskry1jqfvlnuf8tkj.jpg","CIRENEO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765360897/wi5649ngot0kzi9m7mwu.mp3","Done","7g7tAH-WZs4","",""
"VISIONES DE GLORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360998/zvfskry1jqfvlnuf8tkj.jpg","LEÓN Y CORDERO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765361122/pv8lom15xpowq7swo4w9.mp3","Done","JSOzRvYqiyE","",""
"VISIONES DE GLORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360998/zvfskry1jqfvlnuf8tkj.jpg","KADOSH","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765361154/sfm2apwuowwiajwnhi6v.mp3","Done","exW0QOpms_Y","",""
"VISIONES DE GLORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360998/zvfskry1jqfvlnuf8tkj.jpg","ESPEJO DE FUEGO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765361173/uoenmbrytyvyyx7xnjc7.mp3","Done","7u9ExWD2DMg","",""
"VISIONES DE GLORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360998/zvfskry1jqfvlnuf8tkj.jpg","CIELO NUEVO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765361198/xtohlfixqntzhytw0q72.mp3","Done","jSLEeHlPvJM","",""
"VISIONES DE GLORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360998/zvfskry1jqfvlnuf8tkj.jpg","SOBRE LAS AGUAS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765361758/wwfwrqujvmi8tjlwgwvd.mp3","Done","_-kidE-zgtc","",""
"REFUGIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766337038/Refu%CC%81gio_Album_lvdm6d.jpg","MANOS DE GRACIA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765485940/Manos_de_Gracia._u0cbld.mp3","Done","E5mc1Ih-n6w","",""
"REFUGIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766337038/Refu%CC%81gio_Album_lvdm6d.jpg","GETSEMANÍ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765486162/Getsemani%CC%81_ondgti.mp3","Done","Pvct30yts24","",""
"REFUGIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766337038/Refu%CC%81gio_Album_lvdm6d.jpg","CONSUMADO ES","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765486214/Consum_do_es_gyquu6.mp3","Done","0-9YKNUzJuE","",""
"REFUGIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766337038/Refu%CC%81gio_Album_lvdm6d.jpg","EL MANTO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765486272/El_Manto_mfbwpu.mp3","Done","lHduiwsg5OI","",""
"REFUGIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766337038/Refu%CC%81gio_Album_lvdm6d.jpg","LA PIEDRA RODÓ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765486313/La_piedra_rodo%CC%81._qmkuiu.mp3","Done","VUL58wwNTcE","",""
"REFUGIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766337038/Refu%CC%81gio_Album_lvdm6d.jpg","EL CAMINO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765486356/El_Camino_vhutle.mp3","Done","VRJ9bGDt3YE","",""
"REFUGIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766337038/Refu%CC%81gio_Album_lvdm6d.jpg","EN LA ORILLA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765486404/En_la_orilla_gjbede.mp3","Done","rdXgk5Vw6M8","",""
"VISIONES DE GLORIA","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765360998/zvfskry1jqfvlnuf8tkj.jpg","MARANATHA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765588152/Maranatha_lowk4e.mp3","Done","1x2V-wTEwYo","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","ECOS DE LUZ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765806926/Ecos_de_Luz_hipibk.mp3","Done","0SRkrgS0J-U","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","SOLO UNA COSA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765807152/Solo_una_cosa_lor5km.mp3","Done","Aa6Y5XjTzN4","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","TU MIRADA ME SIGUE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765807241/Tu_Mirada_Me_Sigue_oldqom.mp3","Done","G6GyHeerpcg","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","EL ESCONDITE","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765807406/El_Escondite_u7n6qp.mp3","Done","vYdPiwexq-0","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","ALAS DEL ALBA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765807499/Alas_del_Alba_jl4izi.mp3","Done","So8ZJ_lVgSw","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","QUIETUD","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765807569/Quietud_n2z3na.mp3","Done","kBfj91DoSJA","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","AGUA DE VIDA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765807662/Agua_de_Vida_tww6rl.mp3","Done","gR2jIS1Mpag","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","VOZ DE JEHOVÁ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765807755/Voz_de_Jehova%CC%81_cvmn7w.mp3","Done","BeTZ_yfxv6k","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","VALE MÁS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765933146/Vale_Ma%CC%81s._rqkdib.mp3","Done","IT0Qm9EJ250","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","¿QUIEN MÁS?","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765933146/Quie%CC%81n_Ma%CC%81s__baxn9h.mp3","Done","BPq1LPQuCfU","",""
"RESONANCIAS","https://res.cloudinary.com/dveqs8f3n/image/upload/v1769213977/resonancias_V2_cpktav.jpg","ENCONTRÉ MI HOGAR","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765933147/Encontre%CC%81_mi_Hogar_rxe25k.mp3","Done","WacDIiFp25Q","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","AL DESPERTAR","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765933147/Al_Despertar_1_vzs4e7.mp3","Done","_nkKkjH69PQ","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","NO TEMERÉ","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765933148/No_Temere%CC%81_v2_ohyhah.mp3","Done","6AegpJHbOdg","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","TUS ALAS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765933150/Tus_Alas_xugymd.mp3","Done","4jGOn3vaB4o","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","MI BIEN","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765934223/Mi_Bien_wx3htw.mp3","Done","h6y752inI70","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","MI BIEN v2","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765934224/Mi_Bien_v2_m3lh0l.mp3","Done","gV6Jn2IyyXo","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","SANTUARIO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765936793/Santuario_getrev.mp3","Done","2oZAm1HO86c","",""
"REFUGIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1766337038/Refu%CC%81gio_Album_lvdm6d.jpg","LA TORRE MAS ALTA","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765972345/La_Torre_Mas_Alta_a5anau.mp3","Done","l-5QarFRbO8","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","ALZARÉ MIS OJOS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765980701/Alzare%CC%81_Mis_Ojos_yxugj3.mp3","Done","zuY62CMIIFo","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","SOLO EN DIOS","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765984180/Solo_en_DIos_kuckgh.mp3","Done","oEEkumsHfdE","",""
"SANTUARIO","https://res.cloudinary.com/dveqs8f3n/image/upload/v1765935984/santuario_epzcvg.jpg","MIL A TU LADO","https://res.cloudinary.com/dveqs8f3n/video/upload/v1765986123/Mil_A_Tu_Lado_x9jl8i.mp3","Done","QQvDR6L9q6k","",""
